title,authors,subject,print,year,condition,price,added,sold
My System,Aaron Nimzowitsch,opening,First English edition,1929,Good,45.00,2024-11-01,false
The Life and Games of Mikhail Tal,Mikhail Tal,biography,First edition,1976,Very Good,38.00,2024-12-20,false
Zurich International Chess Tournament 1953,David Bronstein,tournament,Dover reprint,1979,Very Good,28.00,2025-01-10,false
Pawn Structure Chess,Andrew Soltis,opening,First edition,1976,Good,22.00,2025-01-15,false
Fundamental Chess Endings,"Karsten Müller, Frank Lamprecht",endgame,First edition,2001,Fine,35.00,2025-02-01,true
The Art of Attack in Chess,Vladimir Vukovic,tactics,Batsford edition,1965,Fair,18.00,2025-02-10,false
Capablanca: A Compendium,Edward Winter,biography,First edition,2011,Very Good,42.00,2025-03-01,false
100 Endgames You Must Know,Jesús de la Villa,endgame,Second edition,2012,Very Good,24.00,2025-03-15,false
The Chess Sacrifice,Volker Reinhardt,tactics,First English edition,1997,Good,16.00,2025-04-01,false
Paul Morphy: The Pride and Sorrow of Chess,David Lawson,biography,McKay edition,1976,Good,32.00,2025-04-10,false
San Remo 1930,Various,tournament,Facsimile reprint,1981,Good,20.00,2025-04-20,false
Dvoretsky's Endgame Manual,Mark Dvoretsky,endgame,Second edition,2008,Fine,40.00,2025-05-01,false
The Immortal Game,David Shenk,miscellaneous,First edition,2006,Very Good,16.00,2025-05-08,false
"Alekhine's Chess Games 1902–1946","Leonard Skinner, Robert Verhoeven",biography,First edition,1998,Very Good,55.00,2025-05-12,false
Modern Chess Openings,Nick de Firmian,opening,14th edition,1999,Good,18.00,2025-05-14,false
The Complete Manual of Positional Chess,"Sakaev, Landa",opening,First edition,2016,Fine,30.00,2026-03-15,false
Chess Praxis,Aaron Nimzowitsch,opening,London edition,1936,Fair,60.00,2026-04-10,false
Tal–Botvinnik 1960,Mikhail Tal,tournament,First English edition,1961,Good,85.00,2026-05-01,false
Think Like a Grandmaster,Alexander Kotov,miscellaneous,Batsford first edition,1971,Good,22.00,2026-05-10,false
Vera Menchik: A Biography,Robert Tanner,biography,First edition,2016,Fine,35.00,2026-05-15,false
